"reference_date","target","horizon","location","target_end_date","output_type","output_type_id","value"
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.95,71.1141497038386
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.975,79.3147254977675
2025-03-22,"wk inc flu hosp",0,"15",2025-03-22,"quantile",0.99,88.5960038067368
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.01,35.7178070111639
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.025,48.1778664539928
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.05,59.8937147876686
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.1,64.6855049646008
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.15,69.0719134572399
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.2,72.0623057583524
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.25,74.0143388935702
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.3,76.4589883354028
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.35,77.9904543971365
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.4,79.9246456674176
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.45,83.0440208400468
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.5,83.9146442171073
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.55,84.1584161329908
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.6,85.0526499438975
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.65,87.3594722983919
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.7,89.9320385879294
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.75,93.7765306612295
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.8,95.9519326399148
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.85,100.138741614559
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.9,104.095078345171
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.95,112.930264159408
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.975,129.872584358124
2025-03-22,"wk inc flu hosp",0,"16",2025-03-22,"quantile",0.99,154.675426985757
